,Pressure Sensor,Temperature Sensor,Flow Sensor,Vibration Sensor,Gas Sensor,Position Sensor,Tension Sensor,Acoustic Sensor,Humidity Sensor,Optical Sensor,Magnetic Sensor,Seismic Sensor,Chemical Sensor,Rate of Penetration Sensor,Weight on Bit Sensor,RPM Sensor,Leak Detection Sensor,Corrosion Sensor,Location,Timestamp
0,5128.56,204.59,3802.65,18.578,266.873,129.771,101.566,18940.03,21.29,644.865,3.313,1.254,0.427,196.609,67616.237,255.607,6.748,8.959,Site-3,2021-04-30
1,19609.561,387.384,3865.281,0.612,722.665,37.192,10.761,1613.318,45.809,517.786,7.425,0.997,97.085,98.202,18604.022,297.741,6.746,7.072,Site-43,2021-04-17
2,945.086,566.743,3096.123,11.571,825.81,22.447,194.857,7981.298,65.451,519.068,3.803,1.574,87.848,113.32,5477.363,453.443,6.945,2.187,Site-44,2020-01-11
3,8458.481,543.697,2542.046,38.999,97.59,74.71,99.37,15626.532,22.728,699.988,2.339,1.143,44.822,34.634,99306.88,51.719,3.147,5.286,Site-50,2020-08-26
4,2127.998,111.507,5921.146,30.07,877.465,105.206,498.537,19824.921,59.137,611.249,4.008,0.459,34.813,190.947,96269.815,20.893,6.37,4.144,Site-7,2021-11-25
5,4235.826,93.406,8937.162,22.52,189.2,42.283,110.094,9910.732,76.234,447.361,3.441,0.894,99.394,196.425,86725.868,273.005,8.404,8.998,Site-29,2020-05-10
6,4555.397,-9.026,9973.374,16.016,297.145,230.666,361.114,15128.469,29.716,514.289,6.584,0.099,77.788,40.995,49893.82,221.659,4.621,5.906,Site-12,2021-06-13
7,15728.59,-39.891,4500.355,28.549,863.338,117.798,493.342,12256.124,1.592,561.633,7.532,1.436,27.674,83.332,5716.561,330.466,3.004,5.459,Site-16,2023-12-10
8,13264.332,-34.363,5860.287,45.072,270.355,181.063,107.653,15774.984,78.483,654.029,7.96,1.451,39.755,100.225,56181.562,1.977,0.215,5.073,Site-50,2021-07-22
9,6118.415,393.631,5112.162,1.818,133.912,30.808,230.141,10109.963,94.711,444.638,8.741,0.475,43.372,142.913,76640.362,179.444,1.428,4.727,Site-28,2023-01-18
10,1072.395,222.169,3274.532,44.532,820.896,87.821,33.637,13048.078,76.229,514.397,4.497,1.387,38.758,41.975,46288.902,355.429,1.928,3.907,Site-16,2023-05-28
